Flight Number,Origin,Destination,Company,Departure Time,Arrival Time,Duration Time,Flight Price,Date,Cabin Class
IndiGo - 615,BOM,DEL,IndiGo ,13:35,15:45,2h 10m,"5,070",20-08-2025,Economy
Air India Exp - 1146,BOM,DEL,Air India Exp ,02:15,04:40,2h 25m,"4,500",20-08-2025,Economy
Air India - 2424,BOM,DEL,Air India ,04:25,06:35,2h 10m,"5,193",20-08-2025,Economy
Akasa Air - 1127,BOM,DEL,Akasa Air ,13:00,15:15,2h 15m,"5,088",20-08-2025,Economy
Air India - 2954,BOM,DEL,Air India ,02:35,05:00,2h 25m,"4,719",20-08-2025,Economy
Air India - 2419,BOM,DEL,Air India ,11:40,13:55,2h 15m,"5,431",20-08-2025,Economy
Air India - 2944,BOM,DEL,Air India ,14:40,16:55,2h 15m,"5,431",20-08-2025,Economy
IndiGo - 2517,BOM,HDO,IndiGo ,07:40,09:40,2h,"5,909",20-08-2025,Economy
Air India - 2422,BOM,DEL,Air India ,01:50,04:10,2h 20m,"5,193",20-08-2025,Economy
Air India - 2428,BOM,DEL,Air India ,06:40,08:45,2h 05m,"5,987",20-08-2025,Economy
Air India - 2952,BOM,DEL,Air India ,12:30,14:55,2h 25m,"5,431",20-08-2025,Economy
Air India - 2432,BOM,DEL,Air India ,08:45,10:55,2h 10m,"5,987",20-08-2025,Economy
Air India - 2960,BOM,DEL,Air India ,09:25,11:40,2h 15m,"5,833",20-08-2025,Economy
Air India - 2430,BOM,DEL,Air India ,10:00,12:15,2h 15m,"5,833",20-08-2025,Economy
Air India - 2994,BOM,DEL,Air India ,10:30,12:45,2h 15m,"5,833",20-08-2025,Economy
Akasa Air - 1410,BOM,DEL,Akasa Air ,07:05,09:20,2h 15m,"5,793",20-08-2025,Economy
IndiGo - 762,BOM,DEL,IndiGo ,06:00,07:55,1h 55m,"6,664",20-08-2025,Economy
Air India - 2970,BOM,DEL,Air India ,07:45,09:55,2h 10m,"6,380",20-08-2025,Economy
IndiGo - 6028,BOM,DEL,IndiGo ,12:30,14:40,2h 10m,"6,664",20-08-2025,Economy
IndiGo - 333,BOM,DEL,IndiGo ,08:05,10:15,2h 10m,"6,664",20-08-2025,Economy
IndiGo - 301,BOM,DEL,IndiGo ,07:00,09:10,2h 10m,"6,664",20-08-2025,Economy
IndiGo - 6704,BOM,DEL,IndiGo ,15:00,17:15,2h 15m,"6,664",20-08-2025,Economy
IndiGo - 6827,BOM,DEL,IndiGo ,11:15,13:30,2h 15m,"6,664",20-08-2025,Economy
IndiGo - 6052,BOM,DEL,IndiGo ,10:00,12:20,2h 20m,"6,664",20-08-2025,Economy
Air India Exp - 1124,BOM,DEL,Air India Exp ,00:35,02:55,2h 20m,"6,850",20-08-2025,Economy
Air India - 2591,BOM,IDR,Air India ,07:20,11:15,3h 55m,"5,833",20-08-2025,Economy
